"","X410","X2965","X2990","X"
"439",2916,1678,338,2
"440",2916,1678,1558,2
"441",2916,1678,1609,2
"442",2916,1678,1612,2
"443",20710,3682,6958,2
"444",20710,3682,3754,2
"445",20710,3682,4335,2
"446",20710,3682,5756,2
"447",20710,3682,5759,2
"448",20710,3682,5773,2
"449",20710,1937,3533,2
"450",20710,1943,3533,2
"451",20710,1943,3722,2
"452",20710,3875,3533,2
"453",20710,3875,3793,2
"454",20710,3875,3646,2
"455",20710,3533,1937,2
"456",20710,3533,1943,2
"457",20710,3533,3875,2
"458",20710,3533,1948,2
"459",20710,3533,1941,2
"460",20710,3533,1944,2
"461",20710,3533,3878,2
"462",20710,3533,1930,2
"463",20710,3533,1934,2
"464",20710,3533,3646,2
"465",20710,1948,3533,2
"466",20710,1941,3533,2
"467",20710,1941,1944,2
"468",20710,1944,3533,2
"469",20710,6130,5773,2
"470",20710,3472,3878,2
"471",20710,3472,3646,2
"472",20710,3712,1930,2
"473",20710,3712,3646,2
"474",20710,6958,3682,2
"475",20710,3754,3682,2
"476",20710,3754,3878,2
"477",20710,3878,3533,2
"478",20710,3878,3472,2
"479",20710,3878,3754,2
"480",20710,3878,1930,2
"481",20710,3878,3564,2
"482",20710,3878,3793,2
"483",20710,3878,3698,2
"484",20710,4335,3682,2
"485",20710,1930,3533,2
"486",20710,1930,3712,2
"487",20710,1930,3878,2
"488",20710,1930,3722,2
"489",20710,5756,3682,2
"490",20710,3722,1943,2
"491",20710,3722,1930,2
"492",20710,3722,3646,2
"493",20710,5759,3682,2
"494",20710,3564,3878,2
"495",20710,3564,3646,2
"496",20710,3793,3875,2
"497",20710,3793,3878,2
"498",20710,1934,3533,2
"499",20710,3698,3878,2
"500",20710,3698,3646,2
"501",20710,3646,3875,2
"502",20710,3646,3533,2
"503",20710,3646,3472,2
"504",20710,3646,3712,2
"505",20710,3646,3722,2
"506",20710,3646,3564,2
"507",20710,3646,3698,2
"508",20710,5773,3682,2
"509",20710,5773,6130,2
"510",9818,580,5673,2
"511",9818,580,1080,2
"512",9818,1218,1074,2
"513",9818,1218,5673,2
"514",9818,1218,1080,2
"515",9818,1525,1074,2
"516",9818,1538,1074,2
"517",9818,302,1074,2
"518",9818,302,5673,2
"519",9818,302,1080,2
"520",9818,344,5673,2
"521",9818,1074,1218,2
"522",9818,1074,1525,2
"523",9818,1074,1538,2
"524",9818,1074,302,2
"525",9818,1074,1534,2
"526",9818,1074,502,2
"527",9818,1074,1335,2
"528",9818,1074,1359,2
"529",9818,1074,4317,2
"530",9818,1074,1273,2
"531",9818,1074,1539,2
"532",9818,1534,1074,2
"533",9818,1066,1359,2
"534",9818,502,1074,2
"535",9818,502,1080,2
"536",9818,1335,1074,2
"537",9818,1359,1074,2
"538",9818,1359,1066,2
"539",9818,1359,5673,2
"540",9818,5673,580,2
"541",9818,5673,1218,2
"542",9818,5673,302,2
"543",9818,5673,344,2
"544",9818,5673,1359,2
"545",9818,5673,3998,2
"546",9818,3998,5673,2
"547",9818,4317,1074,2
"548",9818,1273,1074,2
"549",9818,1080,580,2
"550",9818,1080,1218,2
"551",9818,1080,302,2
"552",9818,1080,502,2
"553",9818,1539,1074,2
"554",5002,2895,2844,2
"555",5002,2895,2848,2
"556",5002,2896,2897,2
"557",5002,2897,2895,2
"558",5002,2844,2895,2
"559",5002,2848,2895,2
"560",3545,2966,4029,2
"561",3545,2966,2948,2
"562",3545,2980,4029,2
"563",3545,4029,2966,2
"564",3545,4029,2980,2
"565",3545,4029,6156,2
"566",3545,4029,6149,2
"567",3545,4029,6153,2
"568",3545,4029,6150,2
"569",3545,4029,6485,2
"570",3545,4029,2981,2
"571",3545,4029,1743,2
"572",3545,6156,4029,2
"573",3545,6149,4029,2
"574",3545,6153,4029,2
"575",3545,2948,2966,2
"576",3545,6150,4029,2
"577",3545,6485,4029,2
"578",3545,2981,4029,2
"579",3545,1743,4029,2
"580",11741,2874,2881,2
"581",11741,2774,2878,2
"582",11741,2897,1762,2
"583",11741,2877,2881,2
"584",11741,2877,2899,2
"585",11741,2878,2774,2
"586",11741,2878,2881,2
"587",11741,2878,1762,2
"588",11741,2878,2893,2
"589",11741,2881,2874,2
"590",11741,2881,2877,2
"591",11741,2881,2878,2
"592",11741,2881,6460,2
"593",11741,2881,1762,2
"594",11741,2881,2879,2
